visitorid,first_seen,last_seen,total_events,total_views,unique_items,unique_categories,avg_price_viewed,max_price_viewed,avg_availability,has_converted,user_tenure_days,events_per_day,conversion_rate
15,2015-09-10 02:01:25.703,2015-09-10 02:01:25.703,20,20,1,1,15513.6,16920.0,0.5,0,1,20.0,0.0
16,2015-05-12 13:17:47.164,2015-05-12 13:17:47.164,2,2,1,1,14442.0,28800.0,0.0,0,1,2.0,0.0
17,2015-06-02 02:23:57.727,2015-06-02 02:23:57.727,16,16,1,1,113671.5,235680.0,0.5,0,1,16.0,0.0
18,2015-09-01 20:44:53.471,2015-09-01 20:44:53.471,3,3,1,3,238800.0,238800.0,0.0,0,1,3.0,0.0
19,2015-05-23 01:57:17.390,2015-05-23 01:57:17.390,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
20,2015-07-13 16:30:36.364,2015-07-13 16:30:36.364,3,3,1,1,14244.0,40680.0,0.0,0,1,3.0,0.0
21,2015-08-23 12:09:39.313,2015-08-23 12:09:39.313,1,1,1,1,11880.0,11880.0,0.0,0,1,1.0,0.0
22,2015-07-02 23:16:15.173,2015-07-02 23:16:38.785,4,4,1,1,10461.0,20880.0,0.0,0,1,4.0,0.0
23,2015-06-07 04:12:03.043,2015-06-12 02:56:11.188,27,27,2,2,25435.11111111111,44760.0,0.8888888888888888,0,4,6.75,0.0
24,2015-05-22 18:21:49.615,2015-05-22 18:23:43.676,26,26,2,1,46375.38461538462,62880.0,0.5,0,1,26.0,0.0
25,2015-06-28 01:00:30.805,2015-06-28 01:00:30.805,16,16,1,1,77041.4415,614280.0,0.5,0,1,16.0,0.0
26,2015-07-28 00:59:16.395,2015-07-28 00:59:16.395,5,5,1,1,71028.0,118800.0,1.0,0,1,5.0,0.0
27,2015-07-24 08:51:19.750,2015-07-24 08:51:19.750,14,14,1,1,11074.285714285714,12960.0,0.5,0,1,14.0,0.0
28,2015-06-06 08:52:22.154,2015-06-06 08:52:22.154,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
29,2015-08-30 05:11:58.175,2015-08-30 05:11:58.175,9,9,1,1,31168.0,51936.0,1.0,0,1,9.0,0.0
30,2015-08-10 08:09:48.141,2015-08-10 08:09:48.141,20,20,1,1,40406.4,53520.0,1.0,0,1,20.0,0.0
31,2015-07-21 15:34:12.502,2015-07-21 15:34:12.502,32,32,1,1,148740.0,165720.0,0.5,0,1,32.0,0.0
32,2015-09-02 19:50:08.505,2015-09-10 17:14:07.409,17,17,2,1,179008.23529411765,377280.0,0.4117647058823529,0,7,2.4285714285714284,0.0
33,2015-09-11 21:55:13.152,2015-09-11 21:55:13.152,4,4,1,1,4344.0,16392.0,0.0,0,1,4.0,0.0
34,2015-05-15 00:43:01.330,2015-05-15 00:43:01.330,3,3,1,1,12400.0,36840.0,0.0,0,1,3.0,0.0
35,2015-09-02 21:17:42.516,2015-09-02 21:17:42.516,22,22,1,1,44263.63636363636,59280.0,0.5,0,1,22.0,0.0
36,2015-07-13 16:29:23.786,2015-07-13 16:32:48.853,2,2,1,1,7320.0,7320.0,0.0,0,1,2.0,0.0
37,2015-08-07 20:40:41.693,2015-08-13 15:54:35.366,122,122,2,2,70488.0,147840.0,0.5,0,5,24.4,0.0
38,2015-09-09 22:53:47.114,2015-09-09 22:53:47.114,2,2,1,1,8796.0,17400.0,0.0,0,1,2.0,0.0
39,2015-07-19 03:01:26.274,2015-08-15 04:30:27.084,2,2,1,0,0.0,0.0,0.0,0,27,0.07407407407407407,0.0
40,2015-05-18 02:47:37.199,2015-05-18 02:47:37.199,1,1,1,1,11520.0,11520.0,0.0,0,1,1.0,0.0
41,2015-08-22 19:47:45.864,2015-08-22 19:47:45.864,2,2,1,1,27606.0,54960.0,0.0,0,1,2.0,0.0
42,2015-07-27 03:46:05.299,2015-07-27 03:46:05.299,2,2,1,1,48480.0,74160.0,0.0,0,1,2.0,0.0
43,2015-07-01 00:19:39.256,2015-07-01 00:19:39.256,2,2,1,1,169500.0,322200.0,0.0,0,1,2.0,0.0
44,2015-05-12 03:37:24.989,2015-05-12 03:37:24.989,32,32,1,2,22855.5,37800.0,0.5,0,1,32.0,0.0
45,2015-05-11 04:00:12.912,2015-05-11 04:00:12.912,3,3,1,1,2004738.0,6002028.0,1.0,0,1,3.0,0.0
46,2015-07-28 22:06:10.617,2015-08-10 21:39:03.761,10,10,1,1,29397.6,134400.0,0.0,0,12,0.8333333333333334,0.0
47,2015-07-17 20:24:04.303,2015-07-17 20:24:04.303,6,6,1,1,50761.799999999996,205200.0,0.0,0,1,6.0,0.0
48,2015-09-14 22:45:01.202,2015-09-14 22:45:01.202,3,3,1,1,34914.0,104040.0,0.0,0,1,3.0,0.0
49,2015-05-25 19:58:05.846,2015-05-25 19:58:05.846,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
50,2015-07-10 21:08:04.552,2015-07-10 21:08:04.552,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
51,2015-09-05 23:20:57.511,2015-09-05 23:28:04.069,154,154,5,1,94153021.14545454,7247466240.0,0.5909090909090909,0,1,154.0,0.0
52,2015-06-01 22:37:25.927,2015-06-01 22:37:25.927,3,3,1,1,32607424.0,97780812.0,0.0,0,1,3.0,0.0
53,2015-07-08 22:30:35.749,2015-07-08 22:30:35.749,30,30,1,1,13523.2,17880.0,0.5,0,1,30.0,0.0
54,2015-09-15 17:35:31.705,2015-09-18 01:03:27.379,62,62,6,1,15569332.258064516,240180048.0,0.8064516129032258,0,2,31.0,0.0
55,2015-05-05 21:45:10.564,2015-05-05 22:01:21.900,4,4,1,1,260502.0,518724.0,0.0,0,1,4.0,0.0
56,2015-09-03 23:08:34.812,2015-09-03 23:08:34.812,10,10,1,1,522696.0,591360.0,0.5,0,1,10.0,0.0
57,2015-08-14 04:54:07.841,2015-08-14 04:54:07.841,3,3,1,1,41003.200000000004,122880.0,0.0,0,1,3.0,0.0
58,2015-05-11 04:46:52.666,2015-05-11 04:47:34.897,8,8,1,1,321192.0,642360.0,0.5,0,1,8.0,0.0
59,2015-07-14 17:16:48.316,2015-07-14 17:16:48.316,3,3,1,1,92636.0,97344.0,1.0,0,1,3.0,0.0
60,2015-06-21 00:25:04.763,2015-06-21 00:27:14.665,40,40,3,1,22566.0,37440.0,0.5,0,1,40.0,0.0
61,2015-08-13 04:20:34.692,2015-08-13 04:20:34.692,3,3,1,1,127476.0,140016.0,1.0,0,1,3.0,0.0
62,2015-06-13 05:29:13.423,2015-06-13 18:06:01.600,2,2,1,1,6840.0,6840.0,0.0,0,1,2.0,0.0
63,2015-05-11 04:09:12.077,2015-05-11 04:09:12.077,9,9,1,1,51814.933333333334,131880.0,1.0,0,1,9.0,0.0
64,2015-06-15 21:51:51.942,2015-06-24 01:07:08.344,75,75,6,3,51873.92,176640.0,0.5333333333333333,0,8,9.375,0.0
65,2015-06-22 15:38:37.948,2015-06-22 15:39:29.427,52,52,3,2,1115073180.9230769,7247675076.0,0.5,0,1,52.0,0.0
66,2015-08-08 20:06:18.908,2015-08-08 20:06:18.908,3,3,1,1,14696.0,43200.0,0.0,0,1,3.0,0.0
67,2015-07-20 14:42:04.085,2015-07-20 14:42:04.085,22,22,1,2,79526.18181818182,101280.0,1.0,0,1,22.0,0.0
68,2015-07-02 19:35:40.793,2015-07-02 19:35:40.793,3,3,1,1,6612.0,19800.0,0.0,0,1,3.0,0.0
69,2015-07-21 02:37:52.943,2015-07-21 02:37:52.943,2,2,1,1,74172.0,148320.0,0.0,0,1,2.0,0.0
70,2015-06-30 05:49:33.952,2015-06-30 05:49:33.952,14,14,1,1,194451.42857142858,282396.0,0.5,0,1,14.0,0.0
71,2015-08-08 23:30:26.930,2015-08-08 23:30:26.930,2,2,1,1,41040.0,81720.0,0.0,0,1,2.0,0.0
72,2015-05-25 22:01:56.748,2015-05-25 22:01:56.748,26,26,1,1,55540.015384615384,91320.0,1.0,0,1,26.0,0.0
73,2015-05-18 15:48:42.567,2015-05-18 15:49:34.022,4,4,1,1,4232586.0,8461212.0,0.0,0,1,4.0,0.0
74,2015-06-02 06:50:00.750,2015-08-11 06:43:29.853,39,39,5,3,25356820.10526316,961133076.0,0.47368421052631576,0,69,0.5652173913043478,0.0
75,2015-06-29 19:46:15.261,2015-07-21 15:31:08.245,212,212,2,1,33752.09433962264,41040.0,0.9716981132075472,0,21,10.095238095238095,0.0
76,2015-06-29 20:31:25.601,2015-06-29 20:31:57.671,8,8,2,1,66405.0,84360.0,0.75,0,1,8.0,0.0
77,2015-08-13 17:32:35.716,2015-08-13 17:32:35.716,1,1,1,1,10680.0,10680.0,0.0,0,1,1.0,0.0
78,2015-05-05 22:36:44.981,2015-05-05 22:36:44.981,3,3,1,1,79504.0,221520.0,0.0,0,1,3.0,0.0
79,2015-07-26 16:10:01.434,2015-07-26 16:10:01.434,5,5,1,1,13072.8,28320.0,0.0,0,1,5.0,0.0
80,2015-08-31 01:53:45.805,2015-08-31 01:53:45.805,3,3,1,1,429296.0,1262016.0,0.0,0,1,3.0,0.0
81,2015-09-10 16:19:21.243,2015-09-10 16:20:45.920,32,32,1,1,56265.0,62880.0,0.5,0,1,32.0,0.0
82,2015-06-28 16:44:46.838,2015-06-28 16:44:46.838,4,4,1,1,27504.54,95902.56,0.0,0,1,4.0,0.0
83,2015-09-14 03:20:09.915,2015-09-14 03:20:09.915,3,3,1,1,13520.0,33120.0,0.0,0,1,3.0,0.0
84,2015-05-06 20:11:24.006,2015-05-06 20:11:24.006,3,3,1,1,11440.0,32520.0,0.0,0,1,3.0,0.0
85,2015-07-24 00:11:31.070,2015-07-24 00:11:31.070,2,2,1,1,31020.0,38040.0,0.0,0,1,2.0,0.0
86,2015-09-15 20:09:20.317,2015-09-15 20:17:49.636,18,18,1,1,15958.666666666666,52452.0,1.0,0,1,18.0,0.0
87,2015-09-05 22:31:11.237,2015-09-05 22:31:11.237,7,7,1,1,49848.0,289224.0,1.0,0,1,7.0,0.0
88,2015-09-12 19:38:53.371,2015-09-12 19:40:34.560,7,7,2,1,79320.0,84360.0,0.8571428571428571,0,1,7.0,0.0
89,2015-07-09 13:36:05.969,2015-07-25 23:22:35.931,66,66,3,1,88849.09090909091,162480.0,0.5,0,16,4.125,0.0
90,2015-07-01 22:45:54.928,2015-07-01 22:45:54.928,6,6,1,1,61630.0,77400.0,1.0,0,1,6.0,0.0
91,2015-06-04 05:56:24.204,2015-06-22 18:03:04.170,24,24,2,2,281680.0,515400.0,0.5,0,18,1.3333333333333333,0.0
92,2015-05-06 00:34:46.291,2015-05-06 00:34:46.291,2,2,1,1,10740.0,14400.0,0.0,0,1,2.0,0.0
93,2015-08-10 22:24:49.967,2015-08-10 22:24:49.967,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
94,2015-08-04 15:36:11.740,2015-08-04 15:54:39.967,134,134,2,1,274229.32835820894,623760.0,0.5,0,1,134.0,0.0
95,2015-06-12 00:39:56.676,2015-06-12 00:40:41.704,20,20,2,1,54660.0,61080.0,0.5,0,1,20.0,0.0
96,2015-08-01 05:09:11.841,2015-08-01 05:09:11.841,10,10,1,2,15729.6,67560.0,0.0,0,1,10.0,0.0
97,2015-07-10 00:06:11.607,2015-07-19 09:28:09.799,80,80,3,1,62038.86,118320.0,0.725,0,9,8.88888888888889,0.0
98,2015-06-29 16:19:08.315,2015-06-29 16:19:08.315,5,5,1,1,59126.4,101988.0,0.0,0,1,5.0,0.0
99,2015-05-10 03:23:13.472,2015-05-10 18:30:31.676,2,2,1,1,43320.0,43320.0,0.0,0,1,2.0,0.0
100,2015-09-08 23:48:55.990,2015-09-08 23:52:54.884,24,24,1,1,5032.0,5760.0,0.5,0,1,24.0,0.0
101,2015-05-12 16:44:07.989,2015-05-12 16:44:07.989,4,4,1,1,9300.0,21600.0,0.0,0,1,4.0,0.0
102,2015-05-17 20:06:19.359,2015-07-16 18:52:50.675,4,4,2,2,9579.0,18720.0,0.0,0,59,0.06779661016949153,0.0
103,2015-07-05 13:00:32.517,2015-07-05 13:35:19.298,5,5,2,1,8685.6,26880.0,0.0,0,1,5.0,0.0
104,2015-08-27 03:58:10.211,2015-08-27 03:58:10.211,1,1,1,1,18000.0,18000.0,0.0,0,1,1.0,0.0
105,2015-08-13 05:00:39.738,2015-08-13 05:01:27.408,40,40,1,1,8780.316,83880.0,0.5,0,1,40.0,0.0
106,2015-06-06 02:55:17.942,2015-06-06 02:55:17.942,2,2,1,1,60000.0,60000.0,0.5,0,1,2.0,0.0
107,2015-06-12 05:54:01.005,2015-06-12 05:54:01.005,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
108,2015-08-12 04:51:55.705,2015-08-12 04:54:16.465,12,12,1,1,96558.0,193080.0,0.5,0,1,12.0,0.0
109,2015-06-02 19:02:14.302,2015-06-02 19:02:14.302,32,32,1,2,203421.0,359880.0,0.5,0,1,32.0,0.0
110,2015-08-16 23:05:32.602,2015-08-16 23:05:32.602,10,10,1,2,21392.4,95880.0,0.0,0,1,10.0,0.0
111,2015-07-19 04:18:38.909,2015-07-19 04:27:44.693,28,28,1,1,34498.28571428572,66360.0,0.5,0,1,28.0,0.0
112,2015-05-13 21:36:57.839,2015-05-13 21:36:57.839,3,3,1,1,79432.0,87240.0,1.0,0,1,3.0,0.0
113,2015-07-05 06:56:58.094,2015-07-05 06:56:58.094,10,10,1,1,32083.2,44988.0,0.5,0,1,10.0,0.0
114,2015-09-04 05:24:38.869,2015-09-04 05:24:38.869,14,14,1,2,25457.14285714286,71880.0,1.0,0,1,14.0,0.0
115,2015-09-14 16:21:50.644,2015-09-14 16:21:50.644,4,4,1,1,12900.0,13920.0,1.0,0,1,4.0,0.0
116,2015-07-07 03:23:59.358,2015-07-07 03:23:59.358,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
117,2015-08-09 16:16:01.310,2015-08-09 16:47:33.790,17,17,2,2,15722.823529411764,49320.0,0.7058823529411765,0,1,17.0,0.0
118,2015-09-06 03:16:37.185,2015-09-06 03:16:37.185,4,4,1,1,238050.0,951240.0,0.0,0,1,4.0,0.0
119,2015-08-15 18:54:31.050,2015-08-15 18:54:31.050,6,6,1,1,178984.0,993768.0,1.0,0,1,6.0,0.0
120,2015-07-04 15:30:59.041,2015-07-04 15:30:59.041,3,3,1,1,6372.0,17400.0,0.0,0,1,3.0,0.0
121,2015-07-01 00:26:20.438,2015-07-01 00:26:20.438,10,10,1,1,805461.6,3600348.0,0.5,0,1,10.0,0.0
122,2015-06-02 22:53:06.381,2015-06-02 22:53:06.381,12,12,1,1,61600.0,123480.0,0.5,0,1,12.0,0.0
123,2015-07-20 10:20:05.950,2015-07-20 10:20:05.950,8,8,1,1,54501.0,68280.0,0.5,0,1,8.0,0.0
124,2015-06-06 12:57:55.329,2015-07-15 07:38:33.919,29,29,2,1,109513.71428571429,769596.0,0.5,0,38,0.7631578947368421,0.0
125,2015-07-31 00:45:07.349,2015-07-31 00:45:07.349,10,10,1,1,22764.816,38544.0,0.5,0,1,10.0,0.0
126,2015-08-22 21:09:58.839,2015-08-22 21:09:58.839,4,4,1,1,4054.5,13320.0,0.0,0,1,4.0,0.0
127,2015-05-13 16:48:01.405,2015-05-13 16:48:01.405,5,5,1,1,72266.4,103080.0,1.0,0,1,5.0,0.0
128,2015-07-24 19:03:32.808,2015-07-24 19:03:32.808,3,3,1,1,20155960.0,60453600.0,1.0,0,1,3.0,0.0
129,2015-09-14 21:38:45.150,2015-09-14 21:38:45.150,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
130,2015-06-15 13:45:19.564,2015-06-15 13:45:19.564,16,16,1,1,70800.0,74400.0,0.5,0,1,16.0,0.0
131,2015-07-31 05:27:54.392,2015-07-31 05:27:54.392,4,4,1,2,5130.0,9960.0,0.0,0,1,4.0,0.0
132,2015-06-19 17:24:47.284,2015-06-20 06:17:19.461,10,10,1,1,22345.2,64800.0,0.0,0,1,10.0,0.0
133,2015-06-26 11:52:35.196,2015-06-26 11:52:35.196,3,3,1,1,207700.0,619836.0,0.0,0,1,3.0,0.0
134,2015-08-26 04:13:53.113,2015-08-26 04:13:53.113,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
135,2015-05-22 06:03:31.053,2015-05-22 06:03:31.053,16,16,1,1,38556.0,58320.0,0.5,0,1,16.0,0.0
136,2015-09-09 22:01:23.301,2015-09-09 22:01:23.301,5,5,1,1,20124.0,48000.0,0.0,0,1,5.0,0.0
137,2015-06-01 08:59:13.810,2015-06-01 08:59:13.810,14,14,1,1,36687.42857142857,55200.0,0.5,0,1,14.0,0.0
138,2015-08-09 01:11:40.393,2015-08-09 01:11:40.393,14,14,1,1,117660.0,208200.0,0.5,0,1,14.0,0.0
139,2015-08-04 21:47:34.143,2015-08-04 21:47:34.143,3,3,1,1,4520.0,9840.0,0.0,0,1,3.0,0.0
140,2015-09-04 19:56:52.448,2015-09-04 19:56:52.448,14,14,1,1,27411.428571428572,37680.0,0.5,0,1,14.0,0.0
141,2015-05-25 01:54:43.214,2015-05-25 01:54:43.214,20,20,1,1,57424.8,79800.0,0.5,0,1,20.0,0.0
142,2015-07-09 21:44:25.588,2015-07-10 15:11:15.195,16,16,1,1,8742.0,32280.0,0.5,0,1,16.0,0.0
143,2015-09-10 20:30:28.963,2015-09-10 20:30:28.963,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
144,2015-07-21 00:52:59.813,2015-07-21 00:52:59.813,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
145,2015-08-15 11:37:25.414,2015-08-15 11:37:25.414,3,3,1,1,15012.0,37800.0,0.0,0,1,3.0,0.0
146,2015-05-14 19:44:14.019,2015-05-14 19:44:14.019,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
147,2015-06-28 23:35:49.953,2015-06-28 23:35:49.953,4,4,1,1,86718.0,173424.0,0.5,0,1,4.0,0.0
148,2015-06-13 19:11:18.770,2015-06-13 19:11:18.770,10,10,1,1,33265.2,39840.0,1.0,0,1,10.0,0.0
149,2015-06-21 19:58:40.239,2015-06-21 20:22:07.434,2,2,1,0,0.0,0.0,0.0,0,1,2.0,0.0
150,2015-06-07 23:26:40.541,2015-06-07 23:34:06.863,52,38,2,1,47524.61538461538,71760.0,0.5,0,1,52.0,0.0
151,2015-06-17 10:26:41.968,2015-06-17 10:26:41.968,34,34,1,1,113007.10588235295,174480.0,0.5,0,1,34.0,0.0
152,2015-07-11 18:23:46.695,2015-07-11 18:23:46.695,16,16,1,1,44235.0,56280.0,1.0,0,1,16.0,0.0
153,2015-07-25 15:42:47.178,2015-07-25 15:42:47.178,26,26,1,1,329952.92307692306,466200.0,0.5,0,1,26.0,0.0
154,2015-05-30 02:11:53.843,2015-05-30 02:11:53.843,3,3,1,1,12404.0,36240.0,0.0,0,1,3.0,0.0
155,2015-08-13 04:11:43.687,2015-09-12 04:38:00.026,156,94,13,4,135064.20615384614,333960.0,0.5064102564102564,0,30,5.2,0.0
156,2015-09-10 04:36:09.815,2015-09-10 04:36:09.815,18,18,1,1,71773.33333333333,103320.0,0.5,0,1,18.0,0.0
157,2015-06-06 03:29:24.491,2015-06-06 03:29:24.491,1,1,1,1,111840.0,111840.0,0.0,0,1,1.0,0.0
158,2015-06-21 21:34:54.085,2015-06-21 21:35:52.305,13,13,2,1,97336.0,420096.0,0.5,0,1,13.0,0.0
159,2015-05-14 15:58:13.102,2015-05-14 15:58:13.102,4,4,1,1,45282.0,180360.0,0.0,0,1,4.0,0.0
160,2015-08-22 05:27:38.964,2015-08-22 05:27:38.964,3,3,1,1,10168.0,30444.0,0.0,0,1,3.0,0.0
161,2015-08-13 23:06:20.056,2015-08-13 23:06:20.056,4,4,1,1,2817855.0,11174400.0,1.0,0,1,4.0,0.0
162,2015-06-04 02:46:51.865,2015-08-27 06:25:13.802,36,36,5,2,245942.0,433320.0,0.6388888888888888,0,84,0.42857142857142855,0.0
163,2015-06-13 18:50:14.200,2015-06-20 13:41:31.501,7,7,2,2,14770.800000000001,59040.0,0.0,0,6,1.1666666666666667,0.0
164,2015-09-10 17:42:18.089,2015-09-15 18:00:04.696,36,36,2,1,429266.6666666667,578880.0,0.5,0,5,7.2,0.0
165,2015-05-09 23:05:53.994,2015-05-09 23:06:51.312,32,32,1,1,15757.5,22056.0,0.5,0,1,32.0,0.0
166,2015-06-06 04:14:45.284,2015-06-06 04:14:45.284,6,6,1,1,39272.12,225240.0,0.0,0,1,6.0,0.0
167,2015-08-18 15:22:14.595,2015-08-18 15:22:14.595,14,14,1,1,23417.14285714286,27240.0,0.5,0,1,14.0,0.0
168,2015-09-06 02:27:26.134,2015-09-06 02:27:26.134,14,14,1,1,154584.0,303240.0,0.5,0,1,14.0,0.0
169,2015-07-30 18:06:31.110,2015-07-30 18:07:30.204,44,44,3,1,133288.36363636365,183240.0,0.45454545454545453,0,1,44.0,0.0
170,2015-05-28 01:36:45.944,2015-05-29 13:20:15.924,6,6,1,1,11100.0,22080.0,0.0,0,1,6.0,0.0
171,2015-07-08 17:49:19.754,2015-07-08 17:49:19.754,10,10,1,1,244418.4,314640.0,0.5,0,1,10.0,0.0
172,2015-07-14 03:31:16.639,2015-08-15 01:29:01.686,619,517,22,2,44048.090761750405,157560.0,0.7844408427876823,1,31,19.967741935483872,0.0019342359767891683
173,2015-08-02 01:57:39.621,2015-08-02 01:57:39.621,2,2,1,1,480606204.0,961056528.0,0.0,0,1,2.0,0.0
174,2015-07-12 01:26:12.097,2015-07-12 01:26:12.097,6,6,1,1,37632.0,41388.0,0.5,0,1,6.0,0.0
175,2015-06-15 21:09:02.804,2015-06-15 21:09:02.804,2,2,1,1,30425592.0,60833304.0,0.0,0,1,2.0,0.0
176,2015-05-15 18:47:19.692,2015-05-15 18:47:19.692,3,3,1,1,7684.0,23016.0,0.0,0,1,3.0,0.0
177,2015-09-15 04:09:00.204,2015-09-15 04:12:44.039,9,6,1,1,21080.0,23760.0,1.0,0,1,9.0,0.0
178,2015-06-21 20:41:26.740,2015-07-02 03:45:03.865,14,14,1,1,28724.965714285714,199320.0,0.0,0,10,1.4,0.0
179,2015-06-30 07:45:20.775,2015-06-30 07:45:20.775,2,2,1,1,9012.0,18000.0,0.0,0,1,2.0,0.0
180,2015-05-18 18:12:55.799,2015-05-18 18:12:55.799,8,8,1,1,173140.02,1207392.0,1.0,0,1,8.0,0.0
181,2015-05-27 20:05:20.469,2015-05-27 20:08:50.745,2,2,1,0,0.0,0.0,0.0,0,1,2.0,0.0
182,2015-09-09 06:28:33.598,2015-09-09 06:28:33.598,1,1,1,1,27240.0,27240.0,0.0,0,1,1.0,0.0
183,2015-06-16 00:21:58.868,2015-06-16 00:21:58.868,2,2,1,2,18720.0,18720.0,0.0,0,1,2.0,0.0
184,2015-08-13 04:15:30.649,2015-08-13 04:16:08.101,10,10,2,1,24163172.4,241236012.0,0.8,0,1,10.0,0.0
185,2015-07-10 02:43:45.294,2015-07-10 02:43:45.294,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
186,2015-08-12 16:28:16.523,2015-08-12 22:59:32.345,24,12,1,2,40980.0,63000.0,1.0,1,1,24.0,0.08333333333333333
187,2015-05-15 02:15:25.627,2015-05-15 02:15:25.627,46,46,1,1,142237.76295652174,238800.0,0.5,0,1,46.0,0.0
188,2015-08-17 19:26:11.631,2015-08-17 19:26:11.631,24,24,1,1,73469.59999999999,130968.0,0.5,0,1,24.0,0.0
189,2015-05-27 16:05:38.434,2015-05-27 16:05:38.434,8,8,1,1,22554.45,161520.0,0.0,0,1,8.0,0.0
190,2015-08-11 20:19:35.924,2015-08-11 20:19:35.924,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
191,2015-06-10 21:20:32.366,2015-06-10 21:20:32.366,2,2,1,1,56640.0,61200.0,1.0,0,1,2.0,0.0
192,2015-09-02 04:13:46.121,2015-09-02 04:13:46.121,3,3,1,1,25592.0,45480.0,0.0,0,1,3.0,0.0
193,2015-05-10 02:27:43.643,2015-05-10 02:27:43.643,2,2,1,1,22026.0,44040.0,0.0,0,1,2.0,0.0
194,2015-05-22 13:23:47.424,2015-05-22 13:23:47.424,6,6,1,1,23065.2,70080.0,0.0,0,1,6.0,0.0
195,2015-06-05 17:28:27.146,2015-06-05 17:28:27.146,12,12,1,2,10300.0,13200.0,1.0,0,1,12.0,0.0
196,2015-06-30 04:25:32.196,2015-06-30 04:25:32.196,16,16,1,1,36441.0,47760.0,1.0,0,1,16.0,0.0
197,2015-05-22 04:07:45.012,2015-06-07 01:54:07.469,2,2,2,1,99000.0,99000.0,0.0,0,15,0.13333333333333333,0.0
198,2015-05-27 15:45:31.406,2015-05-27 15:45:31.406,1,1,1,1,307320.0,307320.0,0.0,0,1,1.0,0.0
199,2015-07-17 05:07:10.563,2015-07-17 05:07:10.563,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
200,2015-05-11 07:14:38.758,2015-05-11 07:14:38.758,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
201,2015-06-15 14:49:49.000,2015-06-15 14:49:49.000,4,4,1,1,25416.0,87372.0,1.0,0,1,4.0,0.0
202,2015-06-02 00:17:46.180,2015-06-02 00:17:46.180,30,30,1,1,43998.4,62760.0,0.5,0,1,30.0,0.0
203,2015-05-14 03:47:24.358,2015-05-14 03:47:24.358,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
204,2015-06-30 01:42:40.022,2015-06-30 01:42:40.022,22,22,1,1,357894.54545454547,483480.0,0.5,0,1,22.0,0.0
